Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,Arquivada
DELEGADO ÉDER MAURO,A Proposicao procurada nao existe
SILAS CÂMARA,"Arquivada, Aguardando Designação de Relator, Aguardando Designação de Relator, Pronta para Pauta, Arquivada, Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Arquivada, Devolvida ao Autor, Tramitando em Conjunto, Arquivada, Aguardando Designação de Relator, Aguardando Designação de Relator"
CLEBER VERDE,"Arquivada, Tramitando em Conjunto, Aguardando Designação de Relator, Arquivada, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Transformado em Norma Jurídica, Arquivada, Tramitando em Conjunto, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Devolvida ao Autor, Devolvida ao Autor, Aguardando Designação de Relator, Arquivada, Tramitando em Conjunto, Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro"
LUIZ CARLOS,"Arquivada, Arquivada, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada"
FERNANDO RODOLFO,A Proposicao procurada nao existe
FLAVIANO MELO,"Arquivada, Arquivada"
MARCELO RAMOS,A Proposicao procurada nao existe
WELLINGTON ROBERTO,A Proposicao procurada nao existe
MARRECA FILHO,A Proposicao procurada nao existe
VANDER LOUBET,"Transformado em Norma Jurídica, Arquivada, Arquivada"
HÉLIO LEITE,A Proposicao procurada nao existe
NIVALDO ALBUQUERQUE,A Proposicao procurada nao existe
FABIO REIS,A Proposicao procurada nao existe
FÉLIX MENDONÇA JÚNIOR,A Proposicao procurada nao existe
EDIO LOPES,"Tramitando em Conjunto, Arquivada, Pronta para Pauta"
JOÃO DANIEL,A Proposicao procurada nao existe
CÁSSIO ANDRADE,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
ACÁCIO FAVACHO,A Proposicao procurada nao existe
ANDRÉ FIGUEIREDO,A Proposicao procurada nao existe
MARX BELTRÃO,A Proposicao procurada nao existe
BETO PEREIRA,A Proposicao procurada nao existe
JHONATAN DE JESUS,A Proposicao procurada nao existe
TADEU ALENCAR,A Proposicao procurada nao existe
VAIDON OLIVEIRA,A Proposicao procurada nao existe
DANIEL ALMEIDA,"Tramitando em Conjunto, Aguardando Designação de Relator, Arquivada, Transformado em Norma Jurídica"
AIRTON FALEIRO,A Proposicao procurada nao existe
TONINHO WANDSCHEER,A Proposicao procurada nao existe
ENIO VERRI,A Proposicao procurada nao existe
JOÃO MARCELO SOUZA,A Proposicao procurada nao existe
CELSO SABINO,A Proposicao procurada nao existe
ROBERTO DE LUCENA,A Proposicao procurada nao existe
CORONEL CHRISÓSTOMO,A Proposicao procurada nao existe
AFONSO MOTTA,A Proposicao procurada nao existe
MARIA DO ROSÁRIO,Arquivada
ALAN RICK,A Proposicao procurada nao existe
HIRAN GONÇALVES,A Proposicao procurada nao existe
FERNANDO MONTEIRO,A Proposicao procurada nao existe
DAMIÃO FELICIANO,A Proposicao procurada nao existe
GONZAGA PATRIOTA,"Aguardando Designação de Relator, Transformado em Norma Jurídica, Transformado em Norma Jurídica, Arquivada"
JÉSSICA SALES,A Proposicao procurada nao existe
PAULO TEIXEIRA,"Retirado pelo Autor, Tramitando em Conjunto, Arquivada, Arquivada"
CARLOS VERAS,A Proposicao procurada nao existe
FLAVIO NOGUEIRA,A Proposicao procurada nao existe
HILDO ROCHA,A Proposicao procurada nao existe
OSIRES DAMASO,A Proposicao procurada nao existe
FABIO SCHIOCHET,A Proposicao procurada nao existe
GLEISI HOFFMANN,A Proposicao procurada nao existe
LUIZIANNE LINS,A Proposicao procurada nao existe
DELEGADO PABLO,A Proposicao procurada nao existe
CHRISTIANE DE SOUZA YARED,A Proposicao procurada nao existe
NICOLETTI,A Proposicao procurada nao existe
RICARDO TEOBALDO,A Proposicao procurada nao existe
EDMILSON RODRIGUES,A Proposicao procurada nao existe
ULDURICO JUNIOR,A Proposicao procurada nao existe
VICENTINHO JÚNIOR,A Proposicao procurada nao existe
NERI GELLER,A Proposicao procurada nao existe
NILTO TATTO,A Proposicao procurada nao existe
VERMELHO,A Proposicao procurada nao existe
LUIZ NISHIMORI,A Proposicao procurada nao existe
LUCAS VERGILIO,A Proposicao procurada nao existe
ÁTILA LINS,A Proposicao procurada nao existe
DAGOBERTO NOGUEIRA,A Proposicao procurada nao existe
JOSÉ PRIANTE,A Proposicao procurada nao existe
JULIAN LEMOS,A Proposicao procurada nao existe
JOÃO MAIA,A Proposicao procurada nao existe
DULCE MIRANDA,A Proposicao procurada nao existe
BETO FARO,"Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Designação de Relator, Arquivada, Tramitando em Conjunto, Aguardando Designação de Relator"
VINICIUS GURGEL,A Proposicao procurada nao existe
PR. MARCO FELICIANO,A Proposicao procurada nao existe
SILVIO COSTA FILHO,A Proposicao procurada nao existe
LEÔNIDAS CRISTINO,A Proposicao procurada nao existe
ELMAR NASCIMENTO,A Proposicao procurada nao existe
JÚLIO CESAR,Arquivada
PEDRO LUCAS FERNANDES,A Proposicao procurada nao existe
ARTHUR OLIVEIRA MAIA,A Proposicao procurada nao existe
MARGARETE COELHO,A Proposicao procurada nao existe
BETO ROSADO,A Proposicao procurada nao existe
HEITOR FREIRE,A Proposicao procurada nao existe
LEONARDO MONTEIRO,A Proposicao procurada nao existe
LINCOLN PORTELA,"Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Tramitando em Conjunto"
FÁBIO HENRIQUE,A Proposicao procurada nao existe
GIL CUTRIM,A Proposicao procurada nao existe
MAURÍCIO DZIEDRICKI,A Proposicao procurada nao existe
MARCELO NILO,A Proposicao procurada nao existe
CÉLIO SILVEIRA,A Proposicao procurada nao existe
VINICIUS CARVALHO,"Tramitando em Conjunto, Arquivada, Aguardando Parecer, Arquivada, Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Aguardando Deliberação de Recurso, Tramitando em Conjunto, Arquivada"
SAMUEL MOREIRA,A Proposicao procurada nao existe
DANIEL FREITAS,A Proposicao procurada nao existe
DARCI DE MATOS,A Proposicao procurada nao existe
DOMINGOS NETO,A Proposicao procurada nao existe
ALEX MANENTE,A Proposicao procurada nao existe
JORGE SOLLA,A Proposicao procurada nao existe
ALINE GURGEL,A Proposicao procurada nao existe
ALEX SANTANA,A Proposicao procurada nao existe
ELI CORRÊA FILHO,A Proposicao procurada nao existe
JOSÉ AIRTON FÉLIX CIRILO,Tramitando em Conjunto
EUCLYDES PETTERSEN,A Proposicao procurada nao existe
CAPITÃO AUGUSTO,A Proposicao procurada nao existe
IGOR TIMO,A Proposicao procurada nao existe
RUY CARNEIRO,A Proposicao procurada nao existe
PROFESSOR ALCIDES,A Proposicao procurada nao existe
MÁRCIO BIOLCHI,A Proposicao procurada nao existe
BILAC PINTO,A Proposicao procurada nao existe
MÁRCIO MARINHO,A Proposicao procurada nao existe
