Nome,Arquivados,Retirados,Tramitando,Aguardando,Total,Partido,Ano
FERNANDO MONTEIRO,0,0,0,0,0,PP,2007
FREI ANASTACIO RIBEIRO,0,0,0,0,0,PT,2007
CHRISTIANE DE SOUZA YARED,0,0,0,0,0,PL,2007
MISAEL VARELLA,0,0,0,0,0,PSD,2007
LUCAS VERGILIO,0,0,0,0,0,SOLIDARIEDADE,2007
ELI CORRÊA FILHO,0,0,0,0,0,DEM,2007
BALEIA ROSSI,0,0,0,0,0,MDB,2007
JANDIRA FEGHALI,0,0,0,0,0,PCdoB,2007
JOÃO MAIA,1,0,0,0,1,PL,2007
JOÃO MARCELO SOUZA,0,0,0,0,0,MDB,2007
GELSON AZEVEDO,0,0,0,0,0,PL,2007
TEREZA NELMA,0,0,0,0,0,PSDB,2007
VINICIUS FARAH,0,0,0,0,0,MDB,2007
ALCEU MOREIRA,0,0,0,0,0,MDB,2007
LEÔNIDAS CRISTINO,0,0,0,0,0,PDT,2007
MAURÍCIO DZIEDRICKI,0,0,0,0,0,PTB,2007
VANDERLEI MACRIS,1,0,1,2,4,PSDB,2007
EDUARDO CURY,0,0,0,0,0,PSDB,2007
RONALDO CARLETTO,0,0,0,0,0,PP,2007
ANTONIO BRITO,0,0,0,0,0,PSD,2007
ZÉ SILVA,0,0,0,0,0,SOLIDARIEDADE,2007
MARCON,1,0,2,1,4,PT,2007
JOÃO CAMPOS,1,0,5,1,7,PRB,2007
MÁRCIO LABRE,0,0,0,0,0,PSL,2007
EXPEDITO NETTO,0,0,0,0,0,PSD,2007
WILSON SANTIAGO,0,0,0,0,0,PTB,2007
MARÍLIA ARRAES,0,0,0,0,0,PT,2007
SERGIO SOUZA,0,0,0,0,0,MDB,2007
JESUS SÉRGIO,0,0,0,0,0,PDT,2007
MÁRCIO BIOLCHI,0,0,0,0,0,MDB,2007
MARA ROCHA,0,0,0,0,0,PSDB,2007
HUGO MOTTA,0,0,0,0,0,PRB,2007
ANDRÉ ABDON,0,0,0,0,0,PP,2007
ALEX MANENTE,0,0,0,0,0,CIDADANIA,2007
DARCÍSIO PERONDI,1,0,0,0,1,MDB,2007
BOHN GASS,0,0,0,0,0,PT,2007
DANIEL FREITAS,0,0,0,0,0,PSL,2007
EROS BIONDINI,0,0,0,0,0,PROS,2007
LINCOLN PORTELA,1,0,2,7,10,PL,2007
ALEX SANTANA,0,0,0,0,0,PDT,2007
AUGUSTO COUTINHO,0,0,0,0,0,SOLIDARIEDADE,2007
DOMINGOS SÁVIO,0,0,0,0,0,PSDB,2007
ANDRÉ DE PAULA,0,0,1,0,1,PSD,2007
WALTER ALVES,0,0,0,0,0,MDB,2007
CARLOS SAMPAIO,0,0,1,0,1,PSDB,2007
BACELAR,0,0,0,0,0,PODE,2007
GEOVANIA DE SÁ,0,0,0,0,0,PSDB,2007
SILVIA CRISTINA,0,0,0,0,0,PDT,2007
CLAUDIO CAJADO,0,0,0,0,0,PP,2007
MÁRIO NEGROMONTE JR.,0,0,0,0,0,PP,2007
ORLANDO SILVA,0,0,0,0,0,PCdoB,2007
GENINHO ZULIANI,0,0,0,0,0,DEM,2007
RAUL HENRY,0,1,1,0,2,MDB,2007
ROSANGELA GOMES,0,0,0,0,0,PRB,2007
NEREU CRISPIM,0,0,0,0,0,PSL,2007
MANUEL MARCOS,0,0,0,0,0,PRB,2007
CACÁ LEÃO,0,0,0,0,0,PP,2007
VITOR LIPPI,0,0,0,0,0,PSDB,2007
POMPEO DE MATTOS,0,0,2,0,2,PDT,2007
TALÍRIA PETRONE,0,0,0,0,0,PSOL,2007
MÁRIO HERINGER,1,0,0,1,2,PDT,2007
VALMIR ASSUNÇÃO,0,0,0,0,0,PT,2007
CARLOS HENRIQUE GAGUIM,0,0,0,0,0,DEM,2007
CRISTIANO VALE,0,0,0,0,0,PL,2007
ZÉ VITOR,0,0,0,0,0,PL,2007
FAUSTO PINATO,0,0,0,0,0,PP,2007
TIAGO DIMAS,0,0,0,0,0,SOLIDARIEDADE,2007
FÁBIO MITIDIERI,0,0,0,0,0,PSD,2007
ERIKA KOKAY,0,0,0,0,0,PT,2007
PEDRO UCZAI,0,0,0,0,0,PT,2007
BOCA ABERTA,0,0,0,0,0,PROS,2007
JUSCELINO FILHO,0,0,0,0,0,DEM,2007
PROFESSORA ROSA NEIDE,0,0,0,0,0,PT,2007
CAMILO CAPIBERIBE,0,0,0,0,0,PSB,2007
LEUR LOMANTO JÚNIOR,0,0,0,0,0,DEM,2007
MARCELO FREIXO,0,0,0,0,0,PSOL,2007
GUILHERME DERRITE,0,0,0,0,0,PP,2007
REGINALDO LOPES,0,0,0,1,1,PT,2007
PEDRO WESTPHALEN,0,0,0,0,0,PP,2007
JAQUELINE CASSOL,0,0,0,0,0,PP,2007
ABÍLIO SANTANA,0,0,0,0,0,PL,2007
FÁBIO HENRIQUE,0,0,0,0,0,PDT,2007
JOAQUIM PASSARINHO,0,0,0,0,0,PSD,2007
DIMAS FABIANO,0,0,0,0,0,PP,2007
MARCOS AURÉLIO SAMPAIO,0,0,0,0,0,MDB,2007
JÚLIO DELGADO,0,0,2,1,3,PSB,2007
EVAIR VIEIRA DE MELO,0,0,0,0,0,PP,2007
JHC,0,0,0,0,0,PSB,2007
PAULO ABI-ACKEL,0,0,0,1,1,PSDB,2007
JOSÉ NUNES,0,0,0,0,0,PSD,2007
PAULO FREIRE COSTA,0,0,0,0,0,PL,2007
JOSÉ ROCHA,0,0,0,0,0,PL,2007
LUCIANO DUCCI,0,0,0,0,0,PSB,2007
PAULO GUEDES,0,0,0,0,0,PT,2007
CELSO MALDANER,0,0,1,1,2,MDB,2007
NILSON PINTO,0,0,0,0,0,PSDB,2007
RUBENS BUENO,0,0,0,0,0,CIDADANIA,2007
DAVID SOARES,0,0,0,0,0,DEM,2007
DENIS BEZERRA,0,0,0,0,0,PSB,2007
RENATA ABREU,0,0,0,0,0,PODE,2007
JOSÉ RICARDO,0,0,0,0,0,PT,2007
MARLON SANTOS,0,0,0,0,0,PDT,2007
VALDEVAN NOVENTA,0,0,0,0,0,PSC,2007
AFONSO HAMM,1,0,0,0,1,PP,2007
ZECA DIRCEU,0,0,0,0,0,PT,2007
GUSTINHO RIBEIRO,0,0,0,0,0,SOLIDARIEDADE,2007
BENEDITA DA SILVA,0,0,0,0,0,PT,2007
ALICE PORTUGAL,1,0,2,1,4,PCdoB,2007
PAULO PIMENTA,1,0,3,1,5,PT,2007
GIOVANI CHERINI,0,0,0,0,0,PL,2007
ALESSANDRO MOLON,0,0,0,0,0,PSB,2007
AROLDO MARTINS,0,0,0,0,0,PRB,2007
ALIEL MACHADO,0,0,0,0,0,PSB,2007
AFONSO FLORENCE,0,0,0,0,0,PT,2007
ALEXANDRE PADILHA,0,0,0,0,0,PT,2007
DRA. VANDA MILANI,0,0,0,0,0,SOLIDARIEDADE,2007
IDILVAN ALENCAR,0,0,0,0,0,PDT,2007
JÚNIOR MANO,0,0,0,0,0,PL,2007
ODAIR CUNHA,1,0,1,0,2,PT,2007
NATÁLIA BONAVIDES,0,0,0,0,0,PT,2007
TITO,0,0,0,0,0,AVANTE,2007
CAPITÃO WAGNER,0,0,0,0,0,PROS,2007
ALINE SLEUTJES,0,0,0,0,0,PSL,2007
ÁTILA LIRA,1,0,0,0,1,PSB,2007
FELIPE FRANCISCHINI,0,0,0,0,0,PSL,2007
MARGARIDA SALOMÃO,0,0,0,0,0,PT,2007
DANRLEI DE DEUS HINTERHOLZ,0,0,0,0,0,PSD,2007
PAULO AZI,0,0,0,0,0,DEM,2007
