Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,Tramitando em Conjunto
DELEGADO ÉDER MAURO,A Proposicao procurada nao existe
SILAS CÂMARA,A Proposicao procurada nao existe
CLEBER VERDE,"Arquivada, Tramitando em Conjunto"
LUIZ CARLOS,"Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Vetado totalmente, Prioridade (Art. 151, II, RICD), Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Ordinária (Art. 151, III, RICD), Urgência (Art. 155, RICD), Arquivada"
FERNANDO RODOLFO,A Proposicao procurada nao existe
FLAVIANO MELO,A Proposicao procurada nao existe
MARCELO RAMOS,A Proposicao procurada nao existe
WELLINGTON ROBERTO,A Proposicao procurada nao existe
MARRECA FILHO,A Proposicao procurada nao existe
VANDER LOUBET,"Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto"
HÉLIO LEITE,A Proposicao procurada nao existe
NIVALDO ALBUQUERQUE,A Proposicao procurada nao existe
FABIO REIS,"Tramitando em Conjunto, Arquivada"
FÉLIX MENDONÇA JÚNIOR,"Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Arquivada"
EDIO LOPES,Arquivada
JOÃO DANIEL,A Proposicao procurada nao existe
CÁSSIO ANDRADE,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
ACÁCIO FAVACHO,A Proposicao procurada nao existe
ANDRÉ FIGUEIREDO,"Aguardando Parecer, Aguardando Designação de Relator, Aguardando Designação de Relator"
MARX BELTRÃO,A Proposicao procurada nao existe
BETO PEREIRA,A Proposicao procurada nao existe
JHONATAN DE JESUS,"Urgência (Art. 155, RICD)"
TADEU ALENCAR,A Proposicao procurada nao existe
VAIDON OLIVEIRA,A Proposicao procurada nao existe
DANIEL ALMEIDA,"Pronta para Pauta, Transformado em Norma Jurídica, Aguardando Parecer"
AIRTON FALEIRO,A Proposicao procurada nao existe
TONINHO WANDSCHEER,A Proposicao procurada nao existe
ENIO VERRI,A Proposicao procurada nao existe
JOÃO MARCELO SOUZA,A Proposicao procurada nao existe
CELSO SABINO,A Proposicao procurada nao existe
ROBERTO DE LUCENA,"Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto"
CORONEL CHRISÓSTOMO,A Proposicao procurada nao existe
AFONSO MOTTA,A Proposicao procurada nao existe
MARIA DO ROSÁRIO,"Arquivada, Tramitando em Conjunto, Arquivada"
ALAN RICK,A Proposicao procurada nao existe
HIRAN GONÇALVES,A Proposicao procurada nao existe
FERNANDO MONTEIRO,A Proposicao procurada nao existe
DAMIÃO FELICIANO,Aguardando Designação de Relator
GONZAGA PATRIOTA,"Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Prioridade (Art. 151, II, RICD), Arquivada, Aguardando Designação de Relator, Aguardando Parecer, Devolvida ao Autor"
JÉSSICA SALES,A Proposicao procurada nao existe
PAULO TEIXEIRA,"Aguardando Parecer, Aguardando Designação de Relator, Retirado pelo Autor, Tramitando em Conjunto, Prioridade (Art. 151, II, RICD)"
CARLOS VERAS,A Proposicao procurada nao existe
FLAVIO NOGUEIRA,A Proposicao procurada nao existe
HILDO ROCHA,A Proposicao procurada nao existe
OSIRES DAMASO,A Proposicao procurada nao existe
FABIO SCHIOCHET,A Proposicao procurada nao existe
GLEISI HOFFMANN,A Proposicao procurada nao existe
LUIZIANNE LINS,A Proposicao procurada nao existe
DELEGADO PABLO,A Proposicao procurada nao existe
CHRISTIANE DE SOUZA YARED,A Proposicao procurada nao existe
NICOLETTI,A Proposicao procurada nao existe
RICARDO TEOBALDO,A Proposicao procurada nao existe
EDMILSON RODRIGUES,A Proposicao procurada nao existe
