Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
LUIZ CARLOS,"Arquivada, Arquivada, Arquivada"
DELEGADO ÉDER MAURO,A Proposicao procurada nao existe
FERNANDO RODOLFO,A Proposicao procurada nao existe
MARRECA FILHO,A Proposicao procurada nao existe
WELLINGTON ROBERTO,A Proposicao procurada nao existe
VANDER LOUBET,Tramitando em Conjunto
CLEBER VERDE,"Arquivada, Aguardando Designação de Relator, Tramitando em Conjunto, Retirado pelo Autor, Retirado pelo Autor, Retirado pelo Autor, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro, Retirado pelo Autor, Tramitando em Conjunto, Tramitando em Conjunto, Retirado pelo Autor, Arquivada, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Aguardando Parecer, Aguardando Designação de Relator, Tramitando em Conjunto"
FLAVIANO MELO,Tramitando em Conjunto
FABIO REIS,A Proposicao procurada nao existe
FÉLIX MENDONÇA JÚNIOR,"Aguardando Apreciação pelo Senado Federal, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Transformado em Norma Jurídica, Arquivada, Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Aguardando Parecer, Tramitando em Conjunto"
JHONATAN DE JESUS,"Tramitando em Conjunto, Arquivada, Aguardando Parecer, Arquivada, Tramitando em Conjunto, Retirado pelo Autor"
BETO PEREIRA,A Proposicao procurada nao existe
TADEU ALENCAR,A Proposicao procurada nao existe
CÁSSIO ANDRADE,A Proposicao procurada nao existe
JOÃO DANIEL,A Proposicao procurada nao existe
TONINHO WANDSCHEER,A Proposicao procurada nao existe
ENIO VERRI,A Proposicao procurada nao existe
HÉLIO LEITE,A Proposicao procurada nao existe
MARCELO RAMOS,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,"Arquivada, Tramitando em Conjunto, Tramitando em Conjunto"
ANDRÉ FIGUEIREDO,"Arquivada, Transformado em Norma Jurídica, Arquivada, Arquivada"
CELSO SABINO,A Proposicao procurada nao existe
HIRAN GONÇALVES,A Proposicao procurada nao existe
VAIDON OLIVEIRA,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
SILAS CÂMARA,"Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto"
DAMIÃO FELICIANO,Tramitando em Conjunto
JÉSSICA SALES,A Proposicao procurada nao existe
