Nome,Status
MÁRCIO MARINHO,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Retirado pelo Autor, Retirado pelo Autor, Aguardando Designação de Relator, Arquivada"
NELSON PELLEGRINO,A Proposicao procurada nao existe
GIACOBO,"Arquivada, Tramitando em Conjunto"
VINICIUS CARVALHO,A Proposicao procurada nao existe
VAVÁ MARTINS,A Proposicao procurada nao existe
GIL CUTRIM,A Proposicao procurada nao existe
PAULO BENGTSON,A Proposicao procurada nao existe
DARCI DE MATOS,A Proposicao procurada nao existe
PATRUS ANANIAS,A Proposicao procurada nao existe
DAGOBERTO NOGUEIRA,A Proposicao procurada nao existe
JORGE SOLLA,A Proposicao procurada nao existe
ROBERTO ALVES,A Proposicao procurada nao existe
REINHOLD STEPHANES JUNIOR,A Proposicao procurada nao existe
EVANDRO ROMAN,A Proposicao procurada nao existe
SHÉRIDAN,A Proposicao procurada nao existe
ELMAR NASCIMENTO,A Proposicao procurada nao existe
SEVERINO PESSOA,A Proposicao procurada nao existe
RUBENS OTONI,A Proposicao procurada nao existe
RAFAEL MOTTA,A Proposicao procurada nao existe
FERNANDO MONTEIRO,A Proposicao procurada nao existe
FREI ANASTACIO RIBEIRO,A Proposicao procurada nao existe
CHRISTIANE DE SOUZA YARED,A Proposicao procurada nao existe
MISAEL VARELLA,A Proposicao procurada nao existe
LUCAS VERGILIO,A Proposicao procurada nao existe
ELI CORRÊA FILHO,"Tramitando em Conjunto, Arquivada, Tramitando em Conjunto"
BALEIA ROSSI,A Proposicao procurada nao existe
JANDIRA FEGHALI,"Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Ordinária (Art. 151, III, RICD), Arquivada"
JOÃO MAIA,A Proposicao procurada nao existe
JOÃO MARCELO SOUZA,A Proposicao procurada nao existe
GELSON AZEVEDO,A Proposicao procurada nao existe
TEREZA NELMA,A Proposicao procurada nao existe
VINICIUS FARAH,A Proposicao procurada nao existe
ALCEU MOREIRA,"Tramitando em Conjunto, Aguardando Designação de Relator, Retirado pelo Autor, Arquivada, Arquivada"
LEÔNIDAS CRISTINO,A Proposicao procurada nao existe
MAURÍCIO DZIEDRICKI,A Proposicao procurada nao existe
VANDERLEI MACRIS,Arquivada
EDUARDO CURY,A Proposicao procurada nao existe
RONALDO CARLETTO,A Proposicao procurada nao existe
ANTONIO BRITO,Pronta para Pauta
ZÉ SILVA,"Tramitando em Conjunto, Arquivada, Transformado em Norma Jurídica, Aguardando Sanção"
MARCON,"Prioridade (Art. 151, II, RICD), Tramitando em Conjunto, Arquivada, Aguardando Designação de Relator, Tramitando em Conjunto"
