Nome,Partido,UF,Tipo_de_Despesa,Valor
BOSCO SARAIVA,SOLIDARIEDADE,AM,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67800
PERPÉTUA ALMEIDA,PCdoB,AC,EMISSÃO BILHETE AÉREO,"R$  76669,95"
DELEGADO ÉDER MAURO,PSD,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  121500
SILAS CÂMARA,PRB,AM,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  193646,17"
CLEBER VERDE,PRB,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  140800
LUIZ CARLOS,PSDB,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  81000
FERNANDO RODOLFO,PL,PE,PASSAGENS AÉREAS,"R$  72908,57"
FLAVIANO MELO,MDB,AC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  85000
MARCELO RAMOS,PL,AM,PASSAGENS AÉREAS,"R$  87198,66"
WELLINGTON ROBERTO,PL,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  197400
MARRECA FILHO,PATRIOTA,MA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.","R$  122683,2"
VANDER LOUBET,PT,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  140246
HÉLIO LEITE,DEM,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  93300
NIVALDO ALBUQUERQUE,PTB,AL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  196000
FABIO REIS,MDB,SE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  72000
FÉLIX MENDONÇA JÚNIOR,PDT,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  126500
EDIO LOPES,PL,RR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  85200
JOÃO DANIEL,PT,SE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  73050
CÁSSIO ANDRADE,PSB,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  102950
OLIVAL MARQUES,DEM,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  56890
ACÁCIO FAVACHO,PROS,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  114000
ANDRÉ FIGUEIREDO,PDT,CE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.","R$  60254,64"
MARX BELTRÃO,PSD,AL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  187500
BETO PEREIRA,PSDB,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  72990
JHONATAN DE JESUS,PRB,RR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  77600
TADEU ALENCAR,PSB,PE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  66000
VAIDON OLIVEIRA,PROS,CE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  75000
DANIEL ALMEIDA,PCdoB,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  89015
AIRTON FALEIRO,PT,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  127220
TONINHO WANDSCHEER,PROS,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  86000
ENIO VERRI,PT,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  84540
JOÃO MARCELO SOUZA,MDB,MA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  74700
CELSO SABINO,PSDB,PA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  100000
ROBERTO DE LUCENA,PODE,SP,EMISSÃO BILHETE AÉREO,"R$  71455,88"
CORONEL CHRISÓSTOMO,PSL,RO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  100563,65"
AFONSO MOTTA,PDT,RS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  65400
