Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,A Proposicao procurada nao existe
DELEGADO ÉDER MAURO,A Proposicao procurada nao existe
SILAS CÂMARA,A Proposicao procurada nao existe
CLEBER VERDE,"Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Devolvida ao Autor, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Retirado pelo Autor, Aguardando Designação de Relator, Tramitando em Conjunto, Urgência (Art. 155, RICD), Tramitando em Conjunto, Tramitando em Conjunto, Devolvida ao Autor, Pronta para Pauta, Pronta para Pauta, Aguardando Designação de Relator, Retirado pelo Autor, Tramitando em Conjunto"
LUIZ CARLOS,"Tramitando em Conjunto, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto"
FERNANDO RODOLFO,A Proposicao procurada nao existe
FLAVIANO MELO,A Proposicao procurada nao existe
MARCELO RAMOS,A Proposicao procurada nao existe
WELLINGTON ROBERTO,"Prioridade (Art. 151, II, RICD), Arquivada"
MARRECA FILHO,A Proposicao procurada nao existe
VANDER LOUBET,"Tramitando em Conjunto, Arquivada, Retirado pelo Autor"
HÉLIO LEITE,Pronta para Pauta
NIVALDO ALBUQUERQUE,"Tramitando em Conjunto, Pronta para Pauta, Aguardando Designação de Relator, Arquivada, Pronta para Pauta, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto"
FABIO REIS,A Proposicao procurada nao existe
FÉLIX MENDONÇA JÚNIOR,"Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro, Aguardando Designação de Relator, Aguardando Parecer, Tramitando em Conjunto, Aguardando Parecer, Aguardando Parecer"
EDIO LOPES,Aguardando Designação de Relator
JOÃO DANIEL,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto"
CÁSSIO ANDRADE,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
ACÁCIO FAVACHO,A Proposicao procurada nao existe
ANDRÉ FIGUEIREDO,Aguardando Deliberação
MARX BELTRÃO,"Tramitando em Conjunto, Prioridade (Art. 151, II, RICD), Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Arquivada, Prioridade (Art. 151, II, RICD), Ordinária (Art. 151, III, RICD), Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto"
BETO PEREIRA,A Proposicao procurada nao existe
JHONATAN DE JESUS,"Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator"
TADEU ALENCAR,Transformado em Norma Jurídica
VAIDON OLIVEIRA,A Proposicao procurada nao existe
DANIEL ALMEIDA,"Devolvida ao Autor, Tramitando em Conjunto"
