Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
LUIZ CARLOS,"Aguardando Parecer, Tramitando em Conjunto, Aguardando Parecer, Urgência (Art. 155, RICD), Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Devolvida ao Autor, Arquivada, Transformado em Norma Jurídica, Devolvida ao Autor, Arquivada, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Arquivada, Arquivada"
DELEGADO ÉDER MAURO,A Proposicao procurada nao existe
FERNANDO RODOLFO,A Proposicao procurada nao existe
MARRECA FILHO,A Proposicao procurada nao existe
WELLINGTON ROBERTO,A Proposicao procurada nao existe
VANDER LOUBET,"Tramitando em Conjunto, Aguardando Parecer, Arquivada, Arquivada, Arquivada, Arquivada"
CLEBER VERDE,"Aguardando Deliberação de Recurso, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto"
FLAVIANO MELO,Aguardando Parecer
FABIO REIS,A Proposicao procurada nao existe
FÉLIX MENDONÇA JÚNIOR,A Proposicao procurada nao existe
JHONATAN DE JESUS,A Proposicao procurada nao existe
BETO PEREIRA,A Proposicao procurada nao existe
TADEU ALENCAR,A Proposicao procurada nao existe
CÁSSIO ANDRADE,A Proposicao procurada nao existe
JOÃO DANIEL,A Proposicao procurada nao existe
TONINHO WANDSCHEER,A Proposicao procurada nao existe
ENIO VERRI,A Proposicao procurada nao existe
HÉLIO LEITE,A Proposicao procurada nao existe
MARCELO RAMOS,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,"Arquivada, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Arquivada"
ANDRÉ FIGUEIREDO,A Proposicao procurada nao existe
CELSO SABINO,A Proposicao procurada nao existe
HIRAN GONÇALVES,A Proposicao procurada nao existe
VAIDON OLIVEIRA,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
SILAS CÂMARA,Tramitando em Conjunto
DAMIÃO FELICIANO,A Proposicao procurada nao existe
JÉSSICA SALES,A Proposicao procurada nao existe
ROBERTO DE LUCENA,A Proposicao procurada nao existe
GONZAGA PATRIOTA,"Devolvida ao Autor, Devolvida ao Autor, Tramitando em Conjunto, Arquivada, Aguardando Designação de Relator, Aguardando Parecer, Arquivada, Aguardando Parecer, Arquivada"
CARLOS VERAS,A Proposicao procurada nao existe
EDIO LOPES,"Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Arquivada"
MARIA DO ROSÁRIO,"Arquivada, Arquivada, Arquivada, Prioridade (Art. 151, II, RICD), Retirado pelo Autor"
CORONEL CHRISÓSTOMO,A Proposicao procurada nao existe
FABIO SCHIOCHET,A Proposicao procurada nao existe
LUIZIANNE LINS,A Proposicao procurada nao existe
