Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
LUIZ CARLOS,A Proposicao procurada nao existe
DELEGADO ÉDER MAURO,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto"
FERNANDO RODOLFO,"Aguardando Despacho do Presidente da Câmara dos Deputados, Aguardando Parecer, Tramitando em Conjunto, Aguardando Deliberação, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Aguardando Parecer"
MARRECA FILHO,"Tramitando em Conjunto, Retirado pelo Autor, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Pronta para Pauta, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto"
WELLINGTON ROBERTO,A Proposicao procurada nao existe
VANDER LOUBET,Aguardando Deliberação
CLEBER VERDE,"Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto"
FLAVIANO MELO,A Proposicao procurada nao existe
FABIO REIS,"Aguardando Parecer, Tramitando em Conjunto, Pronta para Pauta"
FÉLIX MENDONÇA JÚNIOR,A Proposicao procurada nao existe
JHONATAN DE JESUS,Aguardando Deliberação
BETO PEREIRA,"Aguardando Parecer, Tramitando em Conjunto"
TADEU ALENCAR,Aguardando Parecer
CÁSSIO ANDRADE,"Aguardando Despacho do Presidente da Câmara dos Deputados, Aguardando Despacho do Presidente da Câmara dos Deputados, Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Aguardando Parecer, Tramitando em Conjunto, Arquivada"
JOÃO DANIEL,"Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Retirado pelo Autor, Tramitando em Conjunto"
TONINHO WANDSCHEER,"Aguardando Parecer, Aguardando Deliberação"
ENIO VERRI,Tramitando em Conjunto
HÉLIO LEITE,Tramitando em Conjunto
MARCELO RAMOS,"Aguardando Parecer, Urgência (Art. 155, RICD), Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Deliberação, Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Aguardando Parecer"
PERPÉTUA ALMEIDA,"Tramitando em Conjunto, Tramitando em Conjunto, Urgência (Art. 155, RICD)"
ANDRÉ FIGUEIREDO,"Aguardando Designação de Relator, Aguardando Parecer, Aguardando Parecer, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto"
CELSO SABINO,"Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Deliberação, Aguardando Despacho do Presidente da Câmara dos Deputados, Tramitando em Conjunto, Pronta para Pauta, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Pronta para Pauta, Ordinária (Art. 151, III, RICD), Tramitando em Conjunto, Aguardando Designação de Relator, Arquivada"
HIRAN GONÇALVES,"Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Aguardando Deliberação, Aguardando Parecer, Tramitando em Conjunto, Aguardando Parecer"
VAIDON OLIVEIRA,Tramitando em Conjunto
OLIVAL MARQUES,"Aguardando Despacho do Presidente da Câmara dos Deputados, Aguardando Despacho do Presidente da Câmara dos Deputados, Tramitando em Conjunto"
SILAS CÂMARA,"Aguardando Despacho do Presidente da Câmara dos Deputados, Aguardando Despacho do Presidente da Câmara dos Deputados, Aguardando Despacho do Presidente da Câmara dos Deputados"
