Nome,Partido,UF,Tipo_de_Despesa,Valor
PROFESSOR JOZIEL,PSL,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  72190
DR. JAZIEL,PL,CE,EMISSÃO BILHETE AÉREO,"R$  62917,89"
MARINA SANTOS,SOLIDARIEDADE,PI,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  80200
JUNINHO DO PNEU,DEM,RJ,EMISSÃO BILHETE AÉREO,"R$  70939,9"
FLORDELIS,PSD,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  54071,11"
EDILÁZIO JÚNIOR,PSD,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  43387,26"
ROBERTO PESSOA,PSDB,CE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  55315,28"
PROFESSORA DAYANE PIMENTEL,PSL,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  44000
JOÃO H. CAMPOS,PSB,PE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  60700
FÁBIO FARIA,PSD,RN,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  51852
ADRIANO DO BALDY,PP,GO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  74264
WALDENOR PEREIRA,PT,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67380
OTONI DE PAULA,PSC,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  91500
GLAUSTIN FOKUS,PSC,GO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  66678,75"
EDUARDO COSTA,PTB,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67200
PADRE JOÃO,PT,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  47000
RICARDO IZAR,PP,SP,EMISSÃO BILHETE AÉREO,"R$  62903,85"
PAULÃO,PT,AL,EMISSÃO BILHETE AÉREO,"R$  42330,38"
CAPITÃO ALBERTO NETO,PRB,AM,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  80306
GENECIAS NORONHA,SOLIDARIEDADE,CE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  65000
GUILHERME MUSSI,PP,SP,EMISSÃO BILHETE AÉREO,"R$  100566,6"
HENRIQUE FONTANA,PT,RS,EMISSÃO BILHETE AÉREO,"R$  39205,54"
DANIEL SILVEIRA,PSL,RJ,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,R$  32000
MARCOS PEREIRA,PRB,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  50000
CLARISSA GAROTINHO,PROS,RJ,EMISSÃO BILHETE AÉREO,"R$  135054,1"
AJ ALBUQUERQUE,PP,CE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  40000
WOLNEY QUEIROZ,PDT,PE,EMISSÃO BILHETE AÉREO,"R$  75688,1"
OTACI NASCIMENTO,SOLIDARIEDADE,RR,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  49600
HERCULANO PASSOS,MDB,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  72500
LUCIO MOSQUINI,MDB,RO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67050
ZÉ CARLOS,PT,MA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  55000
DANIEL COELHO,CIDADANIA,PE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  55650
GILBERTO NASCIMENTO,PSC,SP,EMISSÃO BILHETE AÉREO,"R$  51684,91"
RODRIGO DE CASTRO,PSDB,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  41950
EDNA HENRIQUE,PSDB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  83100
ALEXANDRE SERFIOTIS,PSD,RJ,EMISSÃO BILHETE AÉREO,"R$  70793,36"
MARCELO BRUM,PSL,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  52780
JOSEILDO RAMOS,PT,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  50795,76"
GURGEL,PSL,RJ,EMISSÃO BILHETE AÉREO,"R$  43354,37"
GUTEMBERG REIS,MDB,RJ,EMISSÃO BILHETE AÉREO,"R$  42038,31"
DIEGO GARCIA,PODE,PR,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  27762,08"
CARLOS ZARATTINI,PT,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  45304,21"
IRACEMA PORTELLA,PP,PI,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  50500
HAROLDO CATHEDRAL,PSD,RR,EMISSÃO BILHETE AÉREO,"R$  64140,87"
JEFFERSON CAMPOS,PSB,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  37376,87"
ALÊ SILVA,PSL,MG,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  51000
SERGIO VIDIGAL,PDT,ES,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  69040
MAURO LOPES,MDB,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  41000
MARIA ROSAS,PRB,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  47168
RUI FALCÃO,PT,SP,EMISSÃO BILHETE AÉREO,"R$  53053,79"
MAGDA MOFATTO,PL,GO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  72984,44"
ALUISIO MENDES,PODE,MA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  32822,72"
CARLOS JORDY,PSL,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67500
RICARDO BARROS,PP,PR,EMISSÃO BILHETE AÉREO,"R$  55158,12"
GLAUBER BRAGA,PSOL,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  54275
SUBTENENTE GONZAGA,PDT,MG,EMISSÃO BILHETE AÉREO,"R$  58741,22"
CEZINHA DE MADUREIRA,PSD,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  36210
SANTINI,PTB,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  48747,86"
ROGÉRIO PENINHA MENDONÇA,MDB,SC,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  60000
PASTOR EURICO,PATRIOTA,PE,EMISSÃO BILHETE AÉREO,"R$  70027,09"
DANIELA DO WAGUINHO,MDB,RJ,EMISSÃO BILHETE AÉREO,"R$  64191,6"
TABATA AMARAL,PDT,SP,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  87500
PEDRO PAULO,DEM,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  66231,76"
VALTENIR PEREIRA,MDB,MT,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  80400
ALTINEU CÔRTES,PL,RJ,PASSAGENS AÉREAS,"R$  94511,77"
FERNANDO COELHO FILHO,DEM,PE,EMISSÃO BILHETE AÉREO,"R$  48345,85"
JOSIMAR MARANHÃOZINHO,PL,MA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  50001
DA VITORIA,CIDADANIA,ES,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  39538,66"
CARLOS CHIODINI,MDB,SC,EMISSÃO BILHETE AÉREO,"R$  50884,09"
OSSESIO SILVA,PRB,PE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  48480,19"
CHARLES FERNANDES,PSD,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  75412
LAFAYETTE DE ANDRADA,PRB,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  82771,88"
RAIMUNDO COSTA,PL,BA,EMISSÃO BILHETE AÉREO,"R$  52201,59"
MOSES RODRIGUES,MDB,CE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  78000
AGUINALDO RIBEIRO,PP,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  45000
CHARLLES EVANGELISTA,PSL,MG,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  41024
WLADIMIR GAROTINHO,PSD,RJ,EMISSÃO BILHETE AÉREO,"R$  62918,67"
DR. LUIZ ANTONIO TEIXEIRA JR.,PP,RJ,EMISSÃO BILHETE AÉREO,"R$  60459,5"
ARNALDO JARDIM,CIDADANIA,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  60439,4"
SÓSTENES CAVALCANTE,DEM,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67600
CELSO RUSSOMANNO,PRB,SP,EMISSÃO BILHETE AÉREO,"R$  91314,35"
SÂMIA BOMFIM,PSOL,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  74223,5"
LEANDRE,PV,PR,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  30000
LUISA CANZIANI,PTB,PR,EMISSÃO BILHETE AÉREO,"R$  60049,72"
LUIZÃO GOULART,PRB,PR,EMISSÃO BILHETE AÉREO,"R$  38055,84"
FERNANDA MELCHIONNA,PSOL,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  72763
HELDER SALOMÃO,PT,ES,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  33540
REJANE DIAS,PT,PI,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  53366,67"
CÉLIO MOURA,PT,TO,EMISSÃO BILHETE AÉREO,"R$  31976,15"
MÁRCIO JERRY,PCdoB,MA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  60000
PEDRO AUGUSTO BEZERRA,PTB,CE,EMISSÃO BILHETE AÉREO,"R$  64676,64"
DELEGADO MARCELO FREITAS,PSL,MG,EMISSÃO BILHETE AÉREO,"R$  45184,94"
LOESTER TRUTIS,PSL,MS,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  89695
EFRAIM FILHO,DEM,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  60900
MILTON VIEIRA,PRB,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  39119,99"
VICENTINHO,PT,SP,EMISSÃO BILHETE AÉREO,"R$  61594,31"
LAERCIO OLIVEIRA,PP,SE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  55687,5"
ALEXANDRE LEITE,DEM,SP,EMISSÃO BILHETE AÉREO,"R$  55091,13"
FILIPE BARROS,PSL,PR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  46390,58"
LÍDICE DA MATA,PSB,BA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  45148,83"
CARLA ZAMBELLI,PSL,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  50504,8"
JOÃO CARLOS BACELAR,PL,BA,EMISSÃO BILHETE AÉREO,"R$  38621,23"
ROSE MODESTO,PSDB,MS,PASSAGENS AÉREAS,"R$  44543,55"
CHRISTINO AUREO,PP,RJ,EMISSÃO BILHETE AÉREO,"R$  57787,5"
IVAN VALENTE,PSOL,SP,EMISSÃO BILHETE AÉREO,"R$  61191,66"
JUAREZ COSTA,MDB,MT,EMISSÃO BILHETE AÉREO,"R$  49353,54"
CARMEN ZANOTTO,CIDADANIA,SC,EMISSÃO BILHETE AÉREO,"R$  31918,17"
HUGO LEAL,PSD,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  35586,6"
FRANCISCO JR.,PSD,GO,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  41400
ROGÉRIO CORREIA,PT,MG,EMISSÃO BILHETE AÉREO,"R$  52804,07"
PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP,EMISSÃO BILHETE AÉREO,"R$  120245,26"
PINHEIRINHO,PP,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  58500
LUIZA ERUNDINA,PSOL,SP,EMISSÃO BILHETE AÉREO,"R$  40101,27"
PROFESSORA MARCIVANIA,PCdoB,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  36000
EDUARDO BISMARCK,PDT,CE,EMISSÃO BILHETE AÉREO,"R$  33379,22"
SCHIAVINATO,PP,PR,EMISSÃO BILHETE AÉREO,"R$  47276,52"
GASTÃO VIEIRA,PROS,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  70175
ASSIS CARVALHO,PT,PI,EMISSÃO BILHETE AÉREO,"R$  52993,48"
ENRICO MISASI,PV,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  35000
EDUARDO BRAIDE,PMN,MA,EMISSÃO BILHETE AÉREO,"R$  61248,95"
FRED COSTA,PATRIOTA,MG,EMISSÃO BILHETE AÉREO,"R$  39598,01"
FLÁVIA MORAIS,PDT,GO,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  60250
FÁBIO RAMALHO,MDB,MG,EMISSÃO BILHETE AÉREO,"R$  51718,78"
TED CONTI,PSB,ES,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  32163,52"
ELCIONE BARBALHO,MDB,PA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  42406,5"
JÚNIOR BOZZELLA,PSL,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  38950
MARCELO ARO,PP,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  53562,82"
SANDERSON,PSL,RS,EMISSÃO BILHETE AÉREO,"R$  28760,58"
EDUARDO BOLSONARO,PSL,SP,EMISSÃO BILHETE AÉREO,"R$  39581,66"
LEDA SADALA,AVANTE,AP,EMISSÃO BILHETE AÉREO,"R$  50698,83"
MAJOR FABIANA,PSL,RJ,EMISSÃO BILHETE AÉREO,"R$  73746,85"
LUIZ ANTÔNIO CORRÊA,S.PART.,RJ,EMISSÃO BILHETE AÉREO,"R$  30482,03"
SORAYA SANTOS,PL,RJ,EMISSÃO BILHETE AÉREO,"R$  69240,75"
AÉCIO NEVES,PSDB,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  72207,23"
JOÃO ROMA,PRB,BA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  52230,91"
PEDRO CUNHA LIMA,PSDB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  74500
ALENCAR SANTANA BRAGA,PT,SP,EMISSÃO BILHETE AÉREO,"R$  38584,81"
MARIANA CARVALHO,PSDB,RO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  51612,02"
JULIO CESAR RIBEIRO,PRB,DF,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  40800
EDUARDO DA FONTE,PP,PE,EMISSÃO BILHETE AÉREO,"R$  53084,67"
BIA CAVASSA,PSDB,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  61440
DR. FREDERICO,PATRIOTA,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  28504,72"
CARLOS GOMES,PRB,RS,EMISSÃO BILHETE AÉREO,"R$  37977,64"
AUREO RIBEIRO,SOLIDARIEDADE,RJ,EMISSÃO BILHETE AÉREO,"R$  95797,36"
ÁUREA CAROLINA,PSOL,MG,EMISSÃO BILHETE AÉREO,"R$  57092,89"
ANDRÉ FUFUCA,PP,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  57500
RENILDO CALHEIROS,PCdoB,PE,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  46205,88"
DANILO CABRAL,PSB,PE,EMISSÃO BILHETE AÉREO,"R$  56212,73"
PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  51500
ARTHUR LIRA,PP,AL,EMISSÃO BILHETE AÉREO,"R$  81270,21"
BOSCO COSTA,PL,SE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  37680
DELEGADO ANTÔNIO FURTADO,PSL,RJ,EMISSÃO BILHETE AÉREO,"R$  45816,95"
FÁBIO TRAD,PSD,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  59450
JOENIA WAPICHANA,REDE,RR,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  42995
DR. ZACHARIAS CALIL,DEM,GO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  70000
EDUARDO BARBOSA,PSDB,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  30216,44"
DIEGO ANDRADE,PSD,MG,EMISSÃO BILHETE AÉREO,"R$  57577,63"
DRA. SORAYA MANATO,PSL,ES,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  57525
BRUNA FURLAN,PSDB,SP,EMISSÃO BILHETE AÉREO,"R$  34205,71"
DAVID MIRANDA,PSOL,RJ,EMISSÃO BILHETE AÉREO,"R$  46683,46"
OTTO ALENCAR FILHO,PSD,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  51880,8"
ZÉ NETO,PT,BA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  38680,56"
PAULO MAGALHÃES,PSD,BA,EMISSÃO BILHETE AÉREO,"R$  38278,7"
JORGE BRAZ,PRB,RJ,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  46142
MIGUEL LOMBARDI,PL,SP,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  26604,28"
HEITOR SCHUCH,PSB,RS,EMISSÃO BILHETE AÉREO,"R$  30831,9"
TÚLIO GADÊLHA,PDT,PE,EMISSÃO BILHETE AÉREO,"R$  41123,16"
SIDNEY LEITE,PSD,AM,EMISSÃO BILHETE AÉREO,"R$  50089,27"
CÉLIO STUDART,PV,CE,EMISSÃO BILHETE AÉREO,"R$  41162,63"
BIRA DO PINDARÉ,PSB,MA,PASSAGENS AÉREAS,"R$  48817,66"
ANDRÉ JANONES,AVANTE,MG,EMISSÃO BILHETE AÉREO,"R$  32333,86"
CELINA LEÃO,PP,DF,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  72000
ISNALDO BULHÕES JR.,MDB,AL,EMISSÃO BILHETE AÉREO,"R$  58658,23"
ENÉIAS REIS,PSL,MG,EMISSÃO BILHETE AÉREO,"R$  36726,06"
NORMA AYUB,DEM,ES,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  41717,98"
FELIPE RIGONI,PSB,ES,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  47560
PASTOR SARGENTO ISIDÓRIO,AVANTE,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  43600
BENES LEOCÁDIO,PRB,RN,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  35338,95"
LIZIANE BAYER,PSB,RS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  30766,67"
STEFANO AGUIAR,PSD,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  50669,48"
MARCELO CALERO,CIDADANIA,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  38495,22"
LAURIETE,PL,ES,EMISSÃO BILHETE AÉREO,"R$  48718,56"
GERVÁSIO MAIA,PSB,PB,EMISSÃO BILHETE AÉREO,"R$  24086,1"
RODRIGO COELHO,PSB,SC,EMISSÃO BILHETE AÉREO,"R$  49178,04"
CHIQUINHO BRAZÃO,AVANTE,RJ,EMISSÃO BILHETE AÉREO,"R$  55496,82"
LUIZ LIMA,PSL,RJ,EMISSÃO BILHETE AÉREO,"R$  34476,28"
ROSANA VALLE,PSB,SP,EMISSÃO BILHETE AÉREO,"R$  33623,44"
ALEXANDRE FROTA,PSL,SP,EMISSÃO BILHETE AÉREO,"R$  35333,32"
ARLINDO CHINAGLIA,PT,SP,EMISSÃO BILHETE AÉREO,"R$  63197,32"
JÚNIOR FERRARI,PSD,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  37500
MARCELO MORAES,PTB,RS,EMISSÃO BILHETE AÉREO,"R$  42112,22"
LUIZ FLÁVIO GOMES,PSB,SP,EMISSÃO BILHETE AÉREO,"R$  43226,95"
MAJOR VITOR HUGO,PSL,GO,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  31913
EMIDINHO MADEIRA,PSB,MG,EMISSÃO BILHETE AÉREO,"R$  44266,64"
LOURIVAL GOMES,PSL,RJ,EMISSÃO BILHETE AÉREO,"R$  44923,1"
DR. LEONARDO,SOLIDARIEDADE,MT,EMISSÃO BILHETE AÉREO,"R$  28586,31"
PAULO RAMOS,PDT,RJ,EMISSÃO BILHETE AÉREO,"R$  38460,55"
ADOLFO VIANA,PSDB,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  51000
LUCIANO BIVAR,PSL,PE,EMISSÃO BILHETE AÉREO,"R$  26741,4"
BIBO NUNES,PSL,RS,EMISSÃO BILHETE AÉREO,"R$  24296,52"
HÉLIO COSTA,PRB,SC,EMISSÃO BILHETE AÉREO,"R$  27567,01"
EMANUEL PINHEIRO NETO,PTB,MT,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  42280
PASTOR GILDENEMYR,PL,MA,PASSAGENS AÉREAS,"R$  45914,64"
GIOVANI FELTES,MDB,RS,EMISSÃO BILHETE AÉREO,"R$  47486,96"
LUCAS REDECKER,PSDB,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  41712,23"
GENERAL GIRÃO,PSL,RN,EMISSÃO BILHETE AÉREO,"R$  53106,07"
LUCAS GONZALEZ,NOVO,MG,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  44100
ALCIDES RODRIGUES,PATRIOTA,GO,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  31077,68"
RICARDO GUIDI,PSD,SC,EMISSÃO BILHETE AÉREO,"R$  45433,8"
ANDRÉ FERREIRA,PSC,PE,EMISSÃO BILHETE AÉREO,"R$  41647,87"
SARGENTO FAHUR,PSD,PR,EMISSÃO BILHETE AÉREO,"R$  45314,56"
PEDRO LUPION,DEM,PR,EMISSÃO BILHETE AÉREO,"R$  36347,31"
SERGIO TOLEDO,PL,AL,EMISSÃO BILHETE AÉREO,"R$  30682,75"
MARCO BERTAIOLLI,PSD,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  40000
JOSÉ MEDEIROS,PODE,MT,PASSAGENS AÉREAS,"R$  40333,53"
LÉO MOTTA,PSL,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  34800
GILBERTO ABRAMO,PRB,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  21000
ELI BORGES,SOLIDARIEDADE,TO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  24906
JUNIOR LOURENÇO,PL,MA,EMISSÃO BILHETE AÉREO,"R$  33551,42"
FRANCO CARTAFINA,PP,MG,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  21397,05"
HELIO LOPES,PSL,RJ,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  38800
MAURO NAZIF,PSB,RO,PASSAGENS AÉREAS,"R$  56796,54"
LUIZ CARLOS MOTTA,PL,SP,EMISSÃO BILHETE AÉREO,"R$  42675,64"
POLICIAL KATIA SASTRE,PL,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  32040
WELITON PRADO,PROS,MG,EMISSÃO BILHETE AÉREO,"R$  38883,05"
JOSE MARIO SCHREINER,DEM,GO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  48300
AMARO NETO,PRB,ES,EMISSÃO BILHETE AÉREO,"R$  40079,63"
MAURO BENEVIDES FILHO,PDT,CE,EMISSÃO BILHETE AÉREO,"R$  46628,78"
LUIS TIBÉ,AVANTE,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  42473,09"
NEWTON CARDOSO JR,MDB,MG,EMISSÃO BILHETE AÉREO,"R$  27363,64"
IGOR KANNÁRIO,PHS,BA,EMISSÃO BILHETE AÉREO,"R$  33818,11"
ALEXIS FONTEYNE,NOVO,SP,EMISSÃO BILHETE AÉREO,"R$  29806,89"
GENERAL PETERNELLI,PSL,SP,PASSAGENS AÉREAS,"R$  21900,45"
VILSON DA FETAEMG,PSB,MG,EMISSÃO BILHETE AÉREO,"R$  26576,13"
LÉO MORAES,PODE,RO,EMISSÃO BILHETE AÉREO,"R$  37196,76"
CORONEL TADEU,PSL,SP,EMISSÃO BILHETE AÉREO,"R$  27247,03"
FELÍCIO LATERÇA,PSL,RJ,EMISSÃO BILHETE AÉREO,"R$  31774,51"
TIRIRICA,PL,SP,EMISSÃO BILHETE AÉREO,"R$  51765,35"
MERLONG SOLANO,PT,PI,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  17840
KIM KATAGUIRI,DEM,SP,EMISSÃO BILHETE AÉREO,"R$  59425,48"
CHRIS TONIETTO,PSL,RJ,EMISSÃO BILHETE AÉREO,"R$  24332,16"
BIA KICIS,PSL,DF,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  21694,07"
JOICE HASSELMANN,PSL,SP,EMISSÃO BILHETE AÉREO,"R$  30919,89"
CORONEL ARMANDO,PSL,SC,EMISSÃO BILHETE AÉREO,"R$  34642,94"
HERMES PARCIANELLO,MDB,PR,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  15516,9"
GUIGA PEIXOTO,PSL,SP,EMISSÃO BILHETE AÉREO,"R$  17115,64"
MARCIO ALVINO,PL,SP,EMISSÃO BILHETE AÉREO,"R$  24328,88"
