Nome,Partido,UF,Tipo_de_Despesa,Valor
AIRTON FALEIRO,PT,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  107220
VINICIUS GURGEL,PL,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  75000
PR. MARCO FELICIANO,PODE,SP,EMISSÃO BILHETE AÉREO,"R$  116030,03"
DULCE MIRANDA,MDB,TO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  125750
JÚLIO CESAR,PSD,PI,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  48000
PEDRO LUCAS FERNANDES,PTB,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  70000
JOSÉ PRIANTE,MDB,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  90000
MARGARETE COELHO,PP,PI,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  66133,2"
HEITOR FREIRE,PSL,CE,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  60433,13"
CÉLIO SILVEIRA,PSDB,GO,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  94000
MARCELO NILO,PSB,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  98100
DOMINGOS NETO,PSD,CE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  150000
BETO ROSADO,PP,RN,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  76000
LUIZ NISHIMORI,PL,PR,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  63810
PAULO TEIXEIRA,PT,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  144430
ALINE GURGEL,PRB,AP,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  85250
ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  114055
