Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,A Proposicao procurada nao existe
DELEGADO ÉDER MAURO,Tramitando em Conjunto
SILAS CÂMARA,Aguardando Designação de Relator
CLEBER VERDE,"Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Parecer, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Prioridade (Art. 151, II, RICD), Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto"
LUIZ CARLOS,"Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Arquivada, Aguardando Designação de Relator, Arquivada, Arquivada, Tramitando em Conjunto, Aguardando Parecer"
FERNANDO RODOLFO,A Proposicao procurada nao existe
FLAVIANO MELO,"Aguardando Designação de Relator, Urgência (Art. 155, RICD), Tramitando em Conjunto"
MARCELO RAMOS,A Proposicao procurada nao existe
WELLINGTON ROBERTO,A Proposicao procurada nao existe
MARRECA FILHO,A Proposicao procurada nao existe
VANDER LOUBET,"Pronta para Pauta, Arquivada, Tramitando em Conjunto"
HÉLIO LEITE,"Tramitando em Conjunto, Retirado pelo Autor"
NIVALDO ALBUQUERQUE,"Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Aguardando Designação de Relator"
FABIO REIS,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto"
FÉLIX MENDONÇA JÚNIOR,Pronta para Pauta
EDIO LOPES,"Aguardando Parecer, Aguardando Apreciação pelo Senado Federal"
JOÃO DANIEL,"Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Parecer, Aguardando Apreciação pelo Senado Federal, Aguardando Parecer, Prioridade (Art. 151, II, RICD)"
CÁSSIO ANDRADE,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
ACÁCIO FAVACHO,A Proposicao procurada nao existe
ANDRÉ FIGUEIREDO,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Pronta para Pauta, Prioridade (Art. 151, II, RICD), Urgência (Art. 155, RICD), Aguardando Deliberação, Pronta para Pauta, Tramitando em Conjunto, Aguardando Parecer, Aguardando Parecer, Retirado pelo Autor, Arquivada, Arquivada"
MARX BELTRÃO,A Proposicao procurada nao existe
BETO PEREIRA,A Proposicao procurada nao existe
JHONATAN DE JESUS,"Tramitando em Conjunto, Aguardando Deliberação de Recurso, Aguardando Parecer, Aguardando Designação de Relator"
TADEU ALENCAR,A Proposicao procurada nao existe
VAIDON OLIVEIRA,"Aguardando Parecer, Urgência (Art. 155, RICD), Prioridade (Art. 151, II, RICD), Tramitando em Conjunto"
DANIEL ALMEIDA,A Proposicao procurada nao existe
AIRTON FALEIRO,A Proposicao procurada nao existe
TONINHO WANDSCHEER,Aguardando Parecer
ENIO VERRI,A Proposicao procurada nao existe
