Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,A Proposicao procurada nao existe
DELEGADO ÉDER MAURO,Tramitando em Conjunto
SILAS CÂMARA,A Proposicao procurada nao existe
CLEBER VERDE,"Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Urgência (Art. 155, RICD), Tramitando em Conjunto"
LUIZ CARLOS,"Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto"
FERNANDO RODOLFO,A Proposicao procurada nao existe
FLAVIANO MELO,A Proposicao procurada nao existe
MARCELO RAMOS,A Proposicao procurada nao existe
WELLINGTON ROBERTO,
MARRECA FILHO,A Proposicao procurada nao existe
VANDER LOUBET,A Proposicao procurada nao existe
HÉLIO LEITE,Aguardando Parecer
NIVALDO ALBUQUERQUE,"Ordinária (Art. 151, III, RICD), Tramitando em Conjunto"
FABIO REIS,A Proposicao procurada nao existe
FÉLIX MENDONÇA JÚNIOR,Tramitando em Conjunto
EDIO LOPES,A Proposicao procurada nao existe
JOÃO DANIEL,"Tramitando em Conjunto, Tramitando em Conjunto, Retirado pelo Autor, Prioridade (Art. 151, II, RICD), Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Vistas"
CÁSSIO ANDRADE,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
ACÁCIO FAVACHO,A Proposicao procurada nao existe
ANDRÉ FIGUEIREDO,Aguardando Apreciação do Veto
MARX BELTRÃO,"Urgência (Art. 155, RICD), Tramitando em Conjunto, Arquivada, Arquivada, Urgência (Art. 155, RICD), Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada"
BETO PEREIRA,A Proposicao procurada nao existe
JHONATAN DE JESUS,"Ordinária (Art. 151, III, RICD)"
TADEU ALENCAR,A Proposicao procurada nao existe
VAIDON OLIVEIRA,A Proposicao procurada nao existe
DANIEL ALMEIDA,A Proposicao procurada nao existe
AIRTON FALEIRO,A Proposicao procurada nao existe
TONINHO WANDSCHEER,"Aguardando Parecer, Tramitando em Conjunto, Arquivada"
ENIO VERRI,Tramitando em Conjunto
JOÃO MARCELO SOUZA,A Proposicao procurada nao existe
CELSO SABINO,A Proposicao procurada nao existe
