Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
LUIZ CARLOS,"Arquivada, Arquivada, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Arquivada, Aguardando Parecer, Arquivada, Tramitando em Conjunto, Arquivada, Ordinária (Art. 151, III, RICD), Tramitando em Conjunto, Arquivada, Arquivada"
DELEGADO ÉDER MAURO,A Proposicao procurada nao existe
FERNANDO RODOLFO,A Proposicao procurada nao existe
MARRECA FILHO,A Proposicao procurada nao existe
WELLINGTON ROBERTO,A Proposicao procurada nao existe
VANDER LOUBET,"Tramitando em Conjunto, Aguardando Designação de Relator"
CLEBER VERDE,"Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro, Arquivada, Arquivada, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto"
FLAVIANO MELO,Arquivada
FABIO REIS,A Proposicao procurada nao existe
FÉLIX MENDONÇA JÚNIOR,A Proposicao procurada nao existe
JHONATAN DE JESUS,A Proposicao procurada nao existe
BETO PEREIRA,A Proposicao procurada nao existe
TADEU ALENCAR,A Proposicao procurada nao existe
CÁSSIO ANDRADE,A Proposicao procurada nao existe
JOÃO DANIEL,A Proposicao procurada nao existe
TONINHO WANDSCHEER,A Proposicao procurada nao existe
ENIO VERRI,A Proposicao procurada nao existe
HÉLIO LEITE,A Proposicao procurada nao existe
MARCELO RAMOS,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,A Proposicao procurada nao existe
ANDRÉ FIGUEIREDO,A Proposicao procurada nao existe
CELSO SABINO,A Proposicao procurada nao existe
HIRAN GONÇALVES,A Proposicao procurada nao existe
VAIDON OLIVEIRA,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
SILAS CÂMARA,"Devolvida ao Autor, Aguardando Deliberação, Tramitando em Conjunto"
DAMIÃO FELICIANO,"Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto"
JÉSSICA SALES,A Proposicao procurada nao existe
