Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,A Proposicao procurada nao existe
DELEGADO ÉDER MAURO,"Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Arquivada, Pronta para Pauta"
SILAS CÂMARA,"Aguardando Parecer, Aguardando Designação de Relator"
CLEBER VERDE,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Tramitando em Conjunto, Prioridade (Art. 151, II, RICD), Arquivada, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Devolvida ao Autor, Devolvida ao Autor, Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Arquivada"
LUIZ CARLOS,"Arquivada, Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Urgência (Art. 155, RICD), Arquivada, Transformado em Norma Jurídica, Arquivada, Devolvida ao Autor, Aguardando Parecer, Arquivada"
FERNANDO RODOLFO,A Proposicao procurada nao existe
FLAVIANO MELO,Aguardando Designação de Relator
MARCELO RAMOS,A Proposicao procurada nao existe
WELLINGTON ROBERTO,"Aguardando Parecer, Arquivada, Arquivada, Arquivada"
MARRECA FILHO,A Proposicao procurada nao existe
VANDER LOUBET,"Arquivada, Arquivada"
HÉLIO LEITE,"Tramitando em Conjunto, Prioridade (Art. 151, II, RICD), Tramitando em Conjunto, Pronta para Pauta, Aguardando Designação de Relator, Aguardando Parecer, Aguardando Designação de Relator, Aguardando Parecer, Aguardando Designação de Relator, Aguardando Designação de Relator, Aguardando Parecer, Urgência (Art. 155, RICD)"
NIVALDO ALBUQUERQUE,A Proposicao procurada nao existe
FABIO REIS,"Tramitando em Conjunto, Aguardando Designação de Relator, Prioridade (Art. 151, II, RICD)"
FÉLIX MENDONÇA JÚNIOR,"Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Parecer, Pronta para Pauta, Aguardando Designação de Relator, Aguardando Designação de Relator, Retirado pelo Autor, Aguardando Designação de Relator, Devolvida ao Autor"
EDIO LOPES,"Tramitando em Conjunto, Retirado pelo Autor"
JOÃO DANIEL,"Pronta para Pauta, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Arquivada, Aguardando Parecer, Aguardando Apreciação pelo Senado Federal, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Arquivada, Aguardando Parecer, Aguardando Designação de Relator, Tramitando em Conjunto"
CÁSSIO ANDRADE,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
ACÁCIO FAVACHO,A Proposicao procurada nao existe
